"tick","Human Count","Zombie Count"
1.0,100,5
2.0,100,5
3.0,100,5
4.0,100,5
5.0,100,5
6.0,100,5
7.0,100,5
8.0,100,5
9.0,100,5
10.0,100,5
11.0,100,5
12.0,100,5
13.0,100,5
14.0,100,5
15.0,100,5
16.0,100,5
17.0,100,5
18.0,100,5
19.0,100,5
20.0,100,5
21.0,100,5
22.0,100,5
23.0,100,5
24.0,100,5
25.0,100,5
26.0,100,5
27.0,100,5
28.0,100,5
29.0,100,5
30.0,100,5
31.0,100,5
32.0,100,5
33.0,99,6
34.0,98,7
35.0,98,7
36.0,98,7
37.0,98,7
38.0,98,7
39.0,98,7
40.0,98,7
41.0,98,7
42.0,98,7
43.0,98,7
44.0,98,7
45.0,98,7
46.0,98,7
47.0,98,7
48.0,97,8
49.0,96,9
50.0,96,9
51.0,96,9
52.0,96,9
53.0,96,9
54.0,96,9
55.0,96,9
56.0,96,9
57.0,96,9
58.0,96,9
59.0,96,9
60.0,96,9
61.0,96,9
62.0,96,9
63.0,96,9
64.0,96,9
65.0,96,9
66.0,96,9
67.0,96,9
68.0,96,9
69.0,96,9
70.0,96,9
71.0,96,9
72.0,96,9
73.0,96,9
74.0,95,10
75.0,95,10
76.0,95,10
77.0,95,10
78.0,95,10
79.0,95,10
80.0,94,11
81.0,94,11
82.0,94,11
83.0,94,11
84.0,94,11
85.0,94,11
86.0,94,11
87.0,94,11
88.0,94,11
89.0,94,11
90.0,93,12
91.0,93,12
92.0,92,13
93.0,92,13
94.0,92,13
95.0,92,13
96.0,92,13
97.0,92,13
98.0,92,13
99.0,92,13
100.0,92,13
101.0,92,13
102.0,92,13
103.0,91,14
104.0,91,14
105.0,91,14
106.0,91,14
107.0,91,14
108.0,91,14
109.0,90,15
110.0,90,15
111.0,90,15
112.0,89,16
113.0,89,16
114.0,89,16
115.0,89,16
116.0,89,16
117.0,89,16
118.0,88,17
119.0,88,17
120.0,88,17
121.0,88,17
122.0,88,17
123.0,88,17
124.0,87,18
125.0,87,18
126.0,87,18
127.0,87,18
128.0,87,18
129.0,87,18
130.0,87,18
